AMST;CONV 207, CHAP 203, CONV 209, MCLS 428, CHAP 101, CHAP 205, CHAP 103, CONV 304, CONV 302, BARR 102, CONV 308, MERR 401, CHAP 210, PRDT LR, WEBS 219, CHAP 201, WEBS 217, MERR 314, NEWP 100, BARR 105, WEBS 220, FAYE 113
ANTH;MEAD 115, WEBS 220, CONV 207, CHAP 201, SMUD 206, CONV 209, WEBS 215, BARR 102, SMUD 204, WEBS 217, MERR 3, SMUD 205, JOCH 21, MERR 4, CONV 304, ESNH 107, MERR 401, FAYE 115, FAYE 117, CONV 208, CHAP 101, CHAP 205, BARR 105, CHAP 203, MCLS 428, MCLS 230, FAYE 113, MERR 315, CHAP 103, OCTA 201, JOCH 202, CONV 302, MERR 131, NEWP 100, MEAD 111
ARAB;CONV 304, CONV 302, CONV 209, MERR 314, CHAP 103, WEBS 219, CHAP 210, CONV 308, BARR 105, CHAP 204, CHAP 119
ARCH;FAYE 113, CHAP 203, CONV 302, MERR 403, SMUD 116, FAYE 117
ARHA;FAYE 115, FAYE 101, FAYE 205, FAYE 1, FAYE 201, FAYE 17B, FAYE 303, COOP 101, FAYE 217A, FAYE 117, SMUD 116, CHAP 203, FAYE 113, FAYE 315, CHAP 210, FAYE 217, MEAD 111, CONV 302
ASLC;WEBS 217, CHAP 103, WEBS 220, CONV 302, CONV 308, FAYE 117, CHAP 210, CONV 208, CONV 207, MEAD 115, CHAP 205, CONV 209, CHAP 101, MERR 401, FAYE 113, CHAP 201, CHAP 203, CHAP 119, OCTA 201, CONV 304, CHAP 204, ESNH 107, MERR 403, WEBS 219, MERR 314, MCLS 230, FAYE 217, BEBU 107, BARR 102
ASTR;SMUD 204, BARR 105, CHAP 201, MERR 314, MERR 131, FAYE 115, MERR 4, MEAD 115, MERR 1
BCBP;MERR 403, MCLS 428, MERR 3, SMUD 206, MERR 220, MCLS 336, MERR 4, MERR 404, WEBS 102, MERR 204
BIOL;MCLS 428, MEAD 115, MERR 3, MERR 4, MERR 315, MERR 220, FAYE 115, MERR 2, SMUD 207, MERR 401, MERR 403, WEBS 102, MERR 314, MERR 131, ESNH 107, MCLS 230, MERR 1, CHAP 201, MCLS 234, SMUD 206, MCLS 432, MCLS 336, MERR 404, MCLS 145, MERR 204
BLST;COOP 101, ARMU 212, CLAR 100, FAYE 217A, CHAP 101, CHAP 205, CONV 207, WEBS 217, MEAD 115, CONV 304, CHAP 103, CHAP 201, CHAP 203, BARR 102, MERR 315, SMUD 206, ARMU 102, CONV 208, WEBS 220, OCTA 201, FAYE 113, MERR 4, FAYE 115, JOCH 21, CONV 302, CONV 308, MERR 401, FAYE 217, CHAP 210, CHAP 119, CONV 209
BRUS;CONV 208
CHEM;MCLS 428, MERR 2, MERR 220, MERR 4, MERR 1, MERR 315, MERR 403, MERR 131, MERR 3, ESNH 107, MERR 401, MERR 425, MERR 426, MERR 421, MERR 419, SMUD 206, MERR 404, MERR 204
CHIN;MCLS 230, WEBS 219, WEBS 220, WEBS 217, WEBS 103, BARR 102, SMUD 202, CHAP 210, CHAP 103
CLAS;MERR 401, FAYE 115, FAYE 117, MERR 2, ESNH 107, CHAP 205, BEBU 107
COLQ;CHAP 119, MORG 111, CHAP 101, CHAP 201, CONV 207, ESNH 004, CLAR 100, SMUD 202, FAYE 217, CONV 302, CHAP 205, MORG 101, MORG 204, MERR 315, CHAP 103, MERR 209
COSC;SMUD 206, SMUD 207, SMUD 203, SMUD 202, SMUD 205, SMUD 204, SMUD 014, SMUD 006, MERR 1, MERR 3, SMUD 116
ECON;MERR 1, ESNH 107, CONV 207, CONV 304, CHAP 201, MERR 3, MERR 4, SMUD 207, CONV 308, SMUD 204, MERR 2, JOCH 21, SMUD 206, CONV 108, CONV 302, SMUD 205, MERR 220, FAYE 115, BEBU 107, CONV 209, MERR 314, MERR 131, MERR 403, JOCH 202
ENGL;JOCH 21, CHAP 201, CONV 302, CONV 208, CONV 308, CHAP 204, BARR 105, BARR 102, FAYE 117, WEBS 220, WEBS 215, CHAP 203, CONV 304, WEBS 219, CONV 108, MERR 4, MERR 401, MERR 314, SMUD 002, CONV 209, FAYE 217A, MERR 403, WEBS 217, CHAP 210, CHAP 101, MCLS 230, CLAR 100, MEAD 115, MERR 3, MERR 220, COOP 101, CONV 207, CHAP 103, CHAP 119, CHAP 205, FAYE 113, OCTA 201, MERR 315, MORG 101, MERR 131, WEBS 117, FAYE 115, MCLS 428, NEWP 100, JOCH BRUSS, FAYE 217, SMUD 205, JOCH 202, SMUD 207, OCTA 200
ENST;MERR 3, CHAP 201, SMUD 207, MCLS 230, MERR 2, MERR 1, SMUD 206, SMUD 205, MEAD 115, MERR 403, MERR 401, JOCH 21, WEBS 220, MERR 131, MERR 315, MERR 4, CONV 207, SMUD 014, BEBU 107, WEBS 217, BEBU 203
EUST;CHAP 210, CONV 302, FAYE 115, FAYE 113, CONV 308, WEBS 215, CHAP 205, ARMU 212, SMUD 116, CLAR 100, CONV 304, FAYE 117, WEBS 219, CONV 209, CONV 108, CHAP 204, CHAP 201, MERR 403, ARMU 102, JOCH 21, ESNH 107, MCLS 230, OCTA 201, CHAP 203, CHAP 101, MEAD 111, FAYE 217A, CONV 208, CHAP 119, FAYE 217, MEAD 115, MERR 401, JOCH 202
FAMS;MEAD 115, CONV 302, CHAP 103, CHAP 101, MERR 4, ARMU 212, FAYE 115, CONV 308, JOCH 21, WEBS 217, FAYE 117, MERR 401, ARMU 102, FAYE 101, CLAR 100, FAYE 217A, CHAP 203, CONV 304, WEBS 220, WEBS 117, SMUD 205, FAYE 217, BARR 102, CHAP 210, MERR 403, CHAP 119, COOP 101, FAYE 315, WEBS 219, FAYE 113, CONV 207
FREN;CHAP 103, CHAP 205, CHAP 210, CONV 304, FAYE 113, CHAP 101, CHAP 204, FAYE 217A, CONV 308, WEBS 220, CLAR 100, MERR 401, CHAP 203, CHAP 201, BARR 102, CONV 108, CONV 207, CHAP 119, NEWP 100, MERR 314, CONV 302, FAYE 217, BARR 105, FAYE 117
FYSE;CHAP 204, MERR 401, MCLS 428, WEBS 215, CHAP 205, CHAP 210, CHAP 103, CHAP 119, CHAP 101, MORG 111, CONV 302, CONV 308, MERR 315, FAYE 117, WEBS 102, CLAR 100, MCLS 230, FAYE 217A, BARR 102, BARR 105, CHAP 203, MERR 314, MERR 430, CONV 208, CONV 207, CONV 209, ARMU 212, CONV 304, OCTA 201, MERR 403, FAYE 113, ARMU 7, CPRD 101A, COOP 101, NEWP 100, SMUD 204, BEBU 203, FAYE 217, WEBS 220, WEBS 8, ARMU 102, CHAP 201, WEBS 217
GEOL;MEAD 115, ESNH 107, ESNH 211, ESNH 311, ESNH 303, ESNH 203, ESNH 100, BEBU 107, BEBU 100, BEBU 311, BEBU 211, BEBU 303, BEBU 203, BEBU 314
GERM;CHAP 119, CHAP 203, CONV 302, CHAP 103, CHAP 210, CHAP 101, CONV 308, CHAP 204, CHAP 201
GREE;CHAP 204, MCLS 428, CONV 208, GROS 11, CHAP 119, GROS 12, CONV 302
HIST;CHAP 201, BARR 102, ESNH 107, COOP 101, CHAP 101, CONV 302, CONV 308, MEAD 115, WEBS 217, MORG 111, CHAP 210, CONV 208, CHAP 103, CHAP 204, MERR 314, CHAP 119, CLAR 100, CHAP 205, CHAP 203, FAYE 115, MERR 401, CONV 207, JOCH 21, WEBS 220, MCLS 230, CONV 304, OCTA 201, FAYE 217A, FAYE 117, CONV 108, MERR 403, MERR 3, CONV 209, SMUD 207, FAYE 113, MCLS 428, MERR 315, WEBS 102, FROS BARKER, BARR 105, BEBU 107, BEBU 203
JAPA;WEBS 101, WEBS 217, WEBS 115
KENA;COOP 101
LATI;CONV 208, MCLS 428, CHAP 103, CHAP 204, CONV 209, CHAP 210, CHAP 119, GROS 12, CLAR 100, SMUD 205, MCLS 230
LJST;CONV 108, MEAD 115, CHAP 204, FAYE 113, CONV 209, SMUD 205, BARR 102, CLAR 100, CHAP 201, FAYE 117, MCLS 230, CONV 302, BARR 105, OCTA 201, CHAP 101, WEBS 217, JOCH 21, ESNH 107, CONV 208, CHAP 119, FAYE 217A, FAYE 115, WEBS 220, CHAP 205, FAYE 217, MERR 3, BEBU 107, CHAP 210, CONV 207, OCTA 200, MERR 315
MATH;SMUD 206, SMUD 205, SMUD 204, SMUD 207, MERR 403, SMUD 202, SMUD 203, ESNH 107, MERR 220, MERR 3, SMUD 014, BEBU 107, JOCH 21, JOCH 202, CHAP 201, CHAP 101
MELL;JOCH 21, CHAP 205, CONV 208, MCLS 428, BARR 105
MUSI;ARMU 212, MUSI 102, ARMU 7, ARMU 102, ARMU 217, CHAP 210, WEBS 19, WEBS 117
NEUR;ESNH 107, MERR 3, MCLS 428, MCLS 145, MERR 2
PHIL;CONV 209, MERR 4, OCTA 201, WEBS 220, COOP 201, MERR 401, WEBS 217, CHAP 101, CONV 304, CONV 302, CONV 207, ESNH 107, BARR 102, SMUD 205, CONV 308, CHAP 204, SMUD 207, OCTA 200, CHAP 203, CHAP 201
PHYS;MERR 3, MERR 1, MERR 2, MERR 211, BARR 105, MERR 314, ESNH 107, MERR 315, MERR 401, MERR 204, MERR 403, MERR 220, MERR 200, MERR 208, SMUD 206, MERR, MERR 212
PICK;MCLS 230, MERR 315
POSC;CONV 108, CHAP 201, CHAP 205, OCTA 201, CONV 209, MORG 111, MERR 403, CHAP 101, CLAR 100, FAYE 115, FAYE 117, CONV 302, FAYE 217A, FAYE 113, CONV 308, CONV 207, MERR 2, ESNH 107, COOP 101, SMUD 205, PRDT LR, CHAP 203, WEBS 220, MERR 131, CHAP 103, FAYE 217, BEBU 107, MERR 1, JOCH 21, WEBS 217, CONV 208, OCTA 200, MCLS 428, CHAP 204, MERR 315, MERR 314, CHAP 210
PSYC;MEAD 115, MERR 4, MERR 315, JOCH 21, MERR 3, FAYE 115, MERR 314, CONV 207, MERR 220, MCLS 428, MERR 2, MERR 403, ESNH 107, FAYE 217A, MERR 131, MERR 401, CHAP 201, MERR 1, WEBS 102, MCLS 145, MCLS 230, JOCH 202, BEBU 107
RELI;FAYE 113, MCLS 230, CHAP 103, WEBS 217, CHAP 205, CHAP 203, CONV 108, CONV 207, CHAP 101, MERR 314, CHAP 210, CHAP 204, CHAP 201, WEBS 220, CLAR 100, OCTA 201, MERR 403, BARR 102, WEBS 215, JOCH 21, CHAP 119, MERR 315, MERR 401, FAYE 115, CONV 209, MEAD 115, JOCH 202, BEBU 107, CONV 208
RUSS;WEBS 219, CHAP 103, WEBS 215, WEBS 220, CHAP 204, MERR 403, CHAP 205, BARR 105, CONV 108, WEBS 207, MCLS 230, CLAR 100, MERR 401, FAYE 117, MERR 314, CONV 308, WEBS 217, MCLS 428, CONV 302, SMUD 205, CONV 207, MEAD 115, CHAP 119
SOCI;MEAD 115, ESNH 107, FAYE 113, CHAP 101, WEBS 220, CHAP 203, BARR 102, WEBS 217, MERR 403, MERR 315, CHAP 201, CONV 308, FAYE 117, FAYE 115, CONV 302, BARR 105, MERR 401, FAYE 217A, CONV 207, JOCH 21, MCLS 230, CONV 209, MCLS 428, CHAP 210, JOCH 202
SPAN;NEWP 100, CHAP 103, CHAP 101, BARR 105, MERR 314, BARR 102, CHAP 203, CHAP 201, CHAP 210, CHAP 205, CHAP 119, CONV 207, FAYE 217A, CONV 308, CONV 209, JOCH 21, CONV 108, FAYE 115, FAYE 113, ESNH 107, CHAP 204, OCTA 201, CONV 302, FAYE 217, WEBS 217, MERR 401, CONV 304, FAYE 117, CLAR 100, OCTA 200
THDA;WEBS 117, WEBS 8, WEBS 122, WEBS 19, WEBS 220, WEBS 217, SMUD 002, CHAP 210, KIRB 100, MEAD 115
WAGS;JOCH 21, CLAR 100, BARR 105, FAYE 115, CONV 304, CONV 302, FAYE 117, CONV 208, CHAP 205, MERR 315, CONV 209, SMUD 202, CHAP 210, CHAP 101, FAYE 217A, SMUD 205, CHAP 203, WEBS 220, WEBS 217, CHAP 204, CHAP 201, FAYE 113, CHAP 103, MCLS 428, ESNH 107, CONV 308, MERR 401, MERR 403, BARR 102, FAYE 217, BEBU 107, JOCH 202, CHAP 119, MERR 314
